from	to	value
'03 Bonnie & Clyde by JAY-Z (Ft. Beyoncé)	Satellites	eyes
'03 Bonnie & Clyde by JAY-Z (Ft. Beyoncé)	Save the Hero	eyes
'03 Bonnie & Clyde by JAY-Z (Ft. Beyoncé)	Schoolin' Life	eyes
'03 Bonnie & Clyde by JAY-Z (Ft. Beyoncé)	Smash Into You	eyes
'03 Bonnie & Clyde by JAY-Z (Ft. Beyoncé)	Sorry	eyes
'03 Bonnie & Clyde by JAY-Z (Ft. Beyoncé)	Superpower (Ft. Frank Ocean)	eyes
'03 Bonnie & Clyde by JAY-Z (Ft. Beyoncé)	Sweet Dreams	eyes
'03 Bonnie & Clyde by JAY-Z (Ft. Beyoncé)	The Closer I Get to You (Ft. Luther Vandross)	eyes
'03 Bonnie & Clyde by JAY-Z (Ft. Beyoncé)	What's It Gonna Be	eyes
6 Inch (Ft. The Weeknd)	All Night	eyes
6 Inch (Ft. The Weeknd)	Baby Boy (Ft. Sean Paul)	eyes
6 Inch (Ft. The Weeknd)	Be With You	eyes
6 Inch (Ft. The Weeknd)	Blow	eyes
6 Inch (Ft. The Weeknd)	Blue (Ft. Blue Ivy Carter)	eyes
6 Inch (Ft. The Weeknd)	Crazy in Love (Ft. JAY-Z)	eyes
6 Inch (Ft. The Weeknd)	Dance for You	eyes
6 Inch (Ft. The Weeknd)	Dangerously In Love 2	eyes
6 Inch (Ft. The Weeknd)	Déjà Vu (Ft. JAY-Z)	eyes
6 Inch (Ft. The Weeknd)	Dreaming	eyes
6 Inch (Ft. The Weeknd)	Drunk in Love (Ft. JAY-Z)	eyes
6 Inch (Ft. The Weeknd)	Ego	eyes
6 Inch (Ft. The Weeknd)	Ego (Remix) (Ft. Kanye West)	eyes
6 Inch (Ft. The Weeknd)	Get Me Bodied	eyes
6 Inch (Ft. The Weeknd)	Gift from Virgo	eyes
6 Inch (Ft. The Weeknd)	Haunted	eyes
6 Inch (Ft. The Weeknd)	Partition	eyes
6 Inch (Ft. The Weeknd)	Resentment	eyes
6 Inch (Ft. The Weeknd)	Rocket	eyes
6 Inch (Ft. The Weeknd)	Satellites	eyes
6 Inch (Ft. The Weeknd)	Save the Hero	eyes
6 Inch (Ft. The Weeknd)	Schoolin' Life	eyes
6 Inch (Ft. The Weeknd)	Smash Into You	eyes
6 Inch (Ft. The Weeknd)	Sorry	eyes
6 Inch (Ft. The Weeknd)	Superpower (Ft. Frank Ocean)	eyes
6 Inch (Ft. The Weeknd)	Sweet Dreams	eyes
6 Inch (Ft. The Weeknd)	The Closer I Get to You (Ft. Luther Vandross)	eyes
6 Inch (Ft. The Weeknd)	What's It Gonna Be	eyes
All Night	Baby Boy (Ft. Sean Paul)	eyes
All Night	Be With You	eyes
All Night	Blow	eyes
All Night	Blue (Ft. Blue Ivy Carter)	eyes
All Night	Crazy in Love (Ft. JAY-Z)	eyes
All Night	Dance for You	eyes
All Night	Dangerously In Love 2	eyes
All Night	Déjà Vu (Ft. JAY-Z)	eyes
All Night	Dreaming	eyes
All Night	Drunk in Love (Ft. JAY-Z)	eyes
All Night	Ego	eyes
All Night	Ego (Remix) (Ft. Kanye West)	eyes
All Night	Get Me Bodied	eyes
All Night	Gift from Virgo	eyes
All Night	Haunted	eyes
All Night	Partition	eyes
All Night	Resentment	eyes
All Night	Rocket	eyes
All Night	Satellites	eyes
All Night	Save the Hero	eyes
All Night	Schoolin' Life	eyes
All Night	Smash Into You	eyes
All Night	Sorry	eyes
All Night	Superpower (Ft. Frank Ocean)	eyes
All Night	Sweet Dreams	eyes
All Night	The Closer I Get to You (Ft. Luther Vandross)	eyes
All Night	What's It Gonna Be	eyes
Baby Boy (Ft. Sean Paul)	Be With You	eyes
Baby Boy (Ft. Sean Paul)	Blow	eyes
Baby Boy (Ft. Sean Paul)	Blue (Ft. Blue Ivy Carter)	eyes
Baby Boy (Ft. Sean Paul)	Crazy in Love (Ft. JAY-Z)	eyes
Baby Boy (Ft. Sean Paul)	Dance for You	eyes
Baby Boy (Ft. Sean Paul)	Dangerously In Love 2	eyes
Baby Boy (Ft. Sean Paul)	Déjà Vu (Ft. JAY-Z)	eyes
Baby Boy (Ft. Sean Paul)	Dreaming	eyes
Baby Boy (Ft. Sean Paul)	Drunk in Love (Ft. JAY-Z)	eyes
Baby Boy (Ft. Sean Paul)	Ego	eyes
Baby Boy (Ft. Sean Paul)	Ego (Remix) (Ft. Kanye West)	eyes
Baby Boy (Ft. Sean Paul)	Get Me Bodied	eyes
Baby Boy (Ft. Sean Paul)	Gift from Virgo	eyes
Baby Boy (Ft. Sean Paul)	Haunted	eyes
Baby Boy (Ft. Sean Paul)	Partition	eyes
Baby Boy (Ft. Sean Paul)	Resentment	eyes
Baby Boy (Ft. Sean Paul)	Rocket	eyes
Baby Boy (Ft. Sean Paul)	Satellites	eyes
Baby Boy (Ft. Sean Paul)	Save the Hero	eyes
Baby Boy (Ft. Sean Paul)	Schoolin' Life	eyes
Baby Boy (Ft. Sean Paul)	Smash Into You	eyes
Baby Boy (Ft. Sean Paul)	Sorry	eyes
Baby Boy (Ft. Sean Paul)	Superpower (Ft. Frank Ocean)	eyes
Baby Boy (Ft. Sean Paul)	Sweet Dreams	eyes
Baby Boy (Ft. Sean Paul)	The Closer I Get to You (Ft. Luther Vandross)	eyes
Baby Boy (Ft. Sean Paul)	What's It Gonna Be	eyes
Be With You	Blow	eyes
Be With You	Blue (Ft. Blue Ivy Carter)	eyes
Be With You	Crazy in Love (Ft. JAY-Z)	eyes
Be With You	Dance for You	eyes
Be With You	Dangerously In Love 2	eyes
Be With You	Déjà Vu (Ft. JAY-Z)	eyes
Be With You	Dreaming	eyes
Be With You	Drunk in Love (Ft. JAY-Z)	eyes
Be With You	Ego	eyes
Be With You	Ego (Remix) (Ft. Kanye West)	eyes
Be With You	Get Me Bodied	eyes
Be With You	Gift from Virgo	eyes
Be With You	Haunted	eyes
Be With You	Partition	eyes
Be With You	Resentment	eyes
Be With You	Rocket	eyes
Be With You	Satellites	eyes
Be With You	Save the Hero	eyes
Be With You	Schoolin' Life	eyes
Be With You	Smash Into You	eyes
Be With You	Sorry	eyes
Be With You	Superpower (Ft. Frank Ocean)	eyes
Be With You	Sweet Dreams	eyes
Be With You	The Closer I Get to You (Ft. Luther Vandross)	eyes
Be With You	What's It Gonna Be	eyes
Blow	Blue (Ft. Blue Ivy Carter)	eyes
Blow	Crazy in Love (Ft. JAY-Z)	eyes
Blow	Dance for You	eyes
Blow	Dangerously In Love 2	eyes
Blow	Déjà Vu (Ft. JAY-Z)	eyes
Blow	Dreaming	eyes
Blow	Drunk in Love (Ft. JAY-Z)	eyes
Blow	Ego	eyes
Blow	Ego (Remix) (Ft. Kanye West)	eyes
Blow	Get Me Bodied	eyes
Blow	Gift from Virgo	eyes
Blow	Haunted	eyes
Blow	Partition	eyes
Blow	Resentment	eyes
Blow	Rocket	eyes
Blow	Satellites	eyes
Blow	Save the Hero	eyes
Blow	Schoolin' Life	eyes
Blow	Smash Into You	eyes
Blow	Sorry	eyes
Blow	Superpower (Ft. Frank Ocean)	eyes
Blow	Sweet Dreams	eyes
Blow	The Closer I Get to You (Ft. Luther Vandross)	eyes
Blow	What's It Gonna Be	eyes
Blue (Ft. Blue Ivy Carter)	Crazy in Love (Ft. JAY-Z)	eyes
Blue (Ft. Blue Ivy Carter)	Dance for You	eyes
Blue (Ft. Blue Ivy Carter)	Dangerously In Love 2	eyes
Blue (Ft. Blue Ivy Carter)	Déjà Vu (Ft. JAY-Z)	eyes
Blue (Ft. Blue Ivy Carter)	Dreaming	eyes
Blue (Ft. Blue Ivy Carter)	Drunk in Love (Ft. JAY-Z)	eyes
Blue (Ft. Blue Ivy Carter)	Ego	eyes
Blue (Ft. Blue Ivy Carter)	Ego (Remix) (Ft. Kanye West)	eyes
Blue (Ft. Blue Ivy Carter)	Get Me Bodied	eyes
Blue (Ft. Blue Ivy Carter)	Gift from Virgo	eyes
Blue (Ft. Blue Ivy Carter)	Haunted	eyes
Blue (Ft. Blue Ivy Carter)	Partition	eyes
Blue (Ft. Blue Ivy Carter)	Resentment	eyes
Blue (Ft. Blue Ivy Carter)	Rocket	eyes
Blue (Ft. Blue Ivy Carter)	Satellites	eyes
Blue (Ft. Blue Ivy Carter)	Save the Hero	eyes
Blue (Ft. Blue Ivy Carter)	Schoolin' Life	eyes
Blue (Ft. Blue Ivy Carter)	Smash Into You	eyes
Blue (Ft. Blue Ivy Carter)	Sorry	eyes
Blue (Ft. Blue Ivy Carter)	Superpower (Ft. Frank Ocean)	eyes
Blue (Ft. Blue Ivy Carter)	Sweet Dreams	eyes
Blue (Ft. Blue Ivy Carter)	The Closer I Get to You (Ft. Luther Vandross)	eyes
Blue (Ft. Blue Ivy Carter)	What's It Gonna Be	eyes
Crazy in Love (Ft. JAY-Z)	Dance for You	eyes
Crazy in Love (Ft. JAY-Z)	Dangerously In Love 2	eyes
Crazy in Love (Ft. JAY-Z)	Déjà Vu (Ft. JAY-Z)	eyes
Crazy in Love (Ft. JAY-Z)	Dreaming	eyes
Crazy in Love (Ft. JAY-Z)	Drunk in Love (Ft. JAY-Z)	eyes
Crazy in Love (Ft. JAY-Z)	Ego	eyes
Crazy in Love (Ft. JAY-Z)	Ego (Remix) (Ft. Kanye West)	eyes
Crazy in Love (Ft. JAY-Z)	Get Me Bodied	eyes
Crazy in Love (Ft. JAY-Z)	Gift from Virgo	eyes
Crazy in Love (Ft. JAY-Z)	Haunted	eyes
Crazy in Love (Ft. JAY-Z)	Partition	eyes
Crazy in Love (Ft. JAY-Z)	Resentment	eyes
Crazy in Love (Ft. JAY-Z)	Rocket	eyes
Crazy in Love (Ft. JAY-Z)	Satellites	eyes
Crazy in Love (Ft. JAY-Z)	Save the Hero	eyes
Crazy in Love (Ft. JAY-Z)	Schoolin' Life	eyes
Crazy in Love (Ft. JAY-Z)	Smash Into You	eyes
Crazy in Love (Ft. JAY-Z)	Sorry	eyes
Crazy in Love (Ft. JAY-Z)	Superpower (Ft. Frank Ocean)	eyes
Crazy in Love (Ft. JAY-Z)	Sweet Dreams	eyes
Crazy in Love (Ft. JAY-Z)	The Closer I Get to You (Ft. Luther Vandross)	eyes
Crazy in Love (Ft. JAY-Z)	What's It Gonna Be	eyes
Dance for You	Dangerously In Love 2	eyes
Dance for You	Déjà Vu (Ft. JAY-Z)	eyes
Dance for You	Dreaming	eyes
Dance for You	Drunk in Love (Ft. JAY-Z)	eyes
Dance for You	Ego	eyes
Dance for You	Ego (Remix) (Ft. Kanye West)	eyes
Dance for You	Get Me Bodied	eyes
Dance for You	Gift from Virgo	eyes
Dance for You	Haunted	eyes
Dance for You	Partition	eyes
Dance for You	Resentment	eyes
Dance for You	Rocket	eyes
Dance for You	Satellites	eyes
Dance for You	Save the Hero	eyes
Dance for You	Schoolin' Life	eyes
Dance for You	Smash Into You	eyes
Dance for You	Sorry	eyes
Dance for You	Superpower (Ft. Frank Ocean)	eyes
Dance for You	Sweet Dreams	eyes
Dance for You	The Closer I Get to You (Ft. Luther Vandross)	eyes
Dance for You	What's It Gonna Be	eyes
Dangerously In Love 2	Déjà Vu (Ft. JAY-Z)	eyes
Dangerously In Love 2	Dreaming	eyes
Dangerously In Love 2	Drunk in Love (Ft. JAY-Z)	eyes
Dangerously In Love 2	Ego	eyes
Dangerously In Love 2	Ego (Remix) (Ft. Kanye West)	eyes
Dangerously In Love 2	Get Me Bodied	eyes
Dangerously In Love 2	Gift from Virgo	eyes
Dangerously In Love 2	Haunted	eyes
Dangerously In Love 2	Partition	eyes
Dangerously In Love 2	Resentment	eyes
Dangerously In Love 2	Rocket	eyes
Dangerously In Love 2	Satellites	eyes
Dangerously In Love 2	Save the Hero	eyes
Dangerously In Love 2	Schoolin' Life	eyes
Dangerously In Love 2	Smash Into You	eyes
Dangerously In Love 2	Sorry	eyes
Dangerously In Love 2	Superpower (Ft. Frank Ocean)	eyes
Dangerously In Love 2	Sweet Dreams	eyes
Dangerously In Love 2	The Closer I Get to You (Ft. Luther Vandross)	eyes
Dangerously In Love 2	What's It Gonna Be	eyes
Déjà Vu (Ft. JAY-Z)	Dreaming	eyes
Déjà Vu (Ft. JAY-Z)	Drunk in Love (Ft. JAY-Z)	eyes
Déjà Vu (Ft. JAY-Z)	Ego	eyes
Déjà Vu (Ft. JAY-Z)	Ego (Remix) (Ft. Kanye West)	eyes
Déjà Vu (Ft. JAY-Z)	Get Me Bodied	eyes
Déjà Vu (Ft. JAY-Z)	Gift from Virgo	eyes
Déjà Vu (Ft. JAY-Z)	Haunted	eyes
Déjà Vu (Ft. JAY-Z)	Partition	eyes
Déjà Vu (Ft. JAY-Z)	Resentment	eyes
Déjà Vu (Ft. JAY-Z)	Rocket	eyes
Déjà Vu (Ft. JAY-Z)	Satellites	eyes
Déjà Vu (Ft. JAY-Z)	Save the Hero	eyes
Déjà Vu (Ft. JAY-Z)	Schoolin' Life	eyes
Déjà Vu (Ft. JAY-Z)	Smash Into You	eyes
Déjà Vu (Ft. JAY-Z)	Sorry	eyes
Déjà Vu (Ft. JAY-Z)	Superpower (Ft. Frank Ocean)	eyes
Déjà Vu (Ft. JAY-Z)	Sweet Dreams	eyes
Déjà Vu (Ft. JAY-Z)	The Closer I Get to You (Ft. Luther Vandross)	eyes
Déjà Vu (Ft. JAY-Z)	What's It Gonna Be	eyes
Dreaming	Drunk in Love (Ft. JAY-Z)	eyes
Dreaming	Ego	eyes
Dreaming	Ego (Remix) (Ft. Kanye West)	eyes
Dreaming	Get Me Bodied	eyes
Dreaming	Gift from Virgo	eyes
Dreaming	Haunted	eyes
Dreaming	Partition	eyes
Dreaming	Resentment	eyes
Dreaming	Rocket	eyes
Dreaming	Satellites	eyes
Dreaming	Save the Hero	eyes
Dreaming	Schoolin' Life	eyes
Dreaming	Smash Into You	eyes
Dreaming	Sorry	eyes
Dreaming	Superpower (Ft. Frank Ocean)	eyes
Dreaming	Sweet Dreams	eyes
Dreaming	The Closer I Get to You (Ft. Luther Vandross)	eyes
Dreaming	What's It Gonna Be	eyes
Drunk in Love (Ft. JAY-Z)	Ego	eyes
Drunk in Love (Ft. JAY-Z)	Ego (Remix) (Ft. Kanye West)	eyes
Drunk in Love (Ft. JAY-Z)	Get Me Bodied	eyes
Drunk in Love (Ft. JAY-Z)	Gift from Virgo	eyes
Drunk in Love (Ft. JAY-Z)	Haunted	eyes
Drunk in Love (Ft. JAY-Z)	Partition	eyes
Drunk in Love (Ft. JAY-Z)	Resentment	eyes
Drunk in Love (Ft. JAY-Z)	Rocket	eyes
Drunk in Love (Ft. JAY-Z)	Satellites	eyes
Drunk in Love (Ft. JAY-Z)	Save the Hero	eyes
Drunk in Love (Ft. JAY-Z)	Schoolin' Life	eyes
Drunk in Love (Ft. JAY-Z)	Smash Into You	eyes
Drunk in Love (Ft. JAY-Z)	Sorry	eyes
Drunk in Love (Ft. JAY-Z)	Superpower (Ft. Frank Ocean)	eyes
Drunk in Love (Ft. JAY-Z)	Sweet Dreams	eyes
Drunk in Love (Ft. JAY-Z)	The Closer I Get to You (Ft. Luther Vandross)	eyes
Drunk in Love (Ft. JAY-Z)	What's It Gonna Be	eyes
Ego	Ego (Remix) (Ft. Kanye West)	eyes
Ego	Get Me Bodied	eyes
Ego	Gift from Virgo	eyes
Ego	Haunted	eyes
Ego	Partition	eyes
Ego	Resentment	eyes
Ego	Rocket	eyes
Ego	Satellites	eyes
Ego	Save the Hero	eyes
Ego	Schoolin' Life	eyes
Ego	Smash Into You	eyes
Ego	Sorry	eyes
Ego	Superpower (Ft. Frank Ocean)	eyes
Ego	Sweet Dreams	eyes
Ego	The Closer I Get to You (Ft. Luther Vandross)	eyes
Ego	What's It Gonna Be	eyes
Ego (Remix) (Ft. Kanye West)	Get Me Bodied	eyes
Ego (Remix) (Ft. Kanye West)	Gift from Virgo	eyes
Ego (Remix) (Ft. Kanye West)	Haunted	eyes
Ego (Remix) (Ft. Kanye West)	Partition	eyes
Ego (Remix) (Ft. Kanye West)	Resentment	eyes
Ego (Remix) (Ft. Kanye West)	Rocket	eyes
Ego (Remix) (Ft. Kanye West)	Satellites	eyes
Ego (Remix) (Ft. Kanye West)	Save the Hero	eyes
Ego (Remix) (Ft. Kanye West)	Schoolin' Life	eyes
Ego (Remix) (Ft. Kanye West)	Smash Into You	eyes
Ego (Remix) (Ft. Kanye West)	Sorry	eyes
Ego (Remix) (Ft. Kanye West)	Superpower (Ft. Frank Ocean)	eyes
Ego (Remix) (Ft. Kanye West)	Sweet Dreams	eyes
Ego (Remix) (Ft. Kanye West)	The Closer I Get to You (Ft. Luther Vandross)	eyes
Ego (Remix) (Ft. Kanye West)	What's It Gonna Be	eyes
Get Me Bodied	Gift from Virgo	eyes
Get Me Bodied	Haunted	eyes
Get Me Bodied	Partition	eyes
Get Me Bodied	Resentment	eyes
Get Me Bodied	Rocket	eyes
Get Me Bodied	Satellites	eyes
Get Me Bodied	Save the Hero	eyes
Get Me Bodied	Schoolin' Life	eyes
Get Me Bodied	Smash Into You	eyes
Get Me Bodied	Sorry	eyes
Get Me Bodied	Superpower (Ft. Frank Ocean)	eyes
Get Me Bodied	Sweet Dreams	eyes
Get Me Bodied	The Closer I Get to You (Ft. Luther Vandross)	eyes
Get Me Bodied	What's It Gonna Be	eyes
Gift from Virgo	Haunted	eyes
Gift from Virgo	Partition	eyes
Gift from Virgo	Resentment	eyes
Gift from Virgo	Rocket	eyes
Gift from Virgo	Satellites	eyes
Gift from Virgo	Save the Hero	eyes
Gift from Virgo	Schoolin' Life	eyes
Gift from Virgo	Smash Into You	eyes
Gift from Virgo	Sorry	eyes
Gift from Virgo	Superpower (Ft. Frank Ocean)	eyes
Gift from Virgo	Sweet Dreams	eyes
Gift from Virgo	The Closer I Get to You (Ft. Luther Vandross)	eyes
Gift from Virgo	What's It Gonna Be	eyes
Haunted	Partition	eyes
Haunted	Resentment	eyes
Haunted	Rocket	eyes
Haunted	Satellites	eyes
Haunted	Save the Hero	eyes
Haunted	Schoolin' Life	eyes
Haunted	Smash Into You	eyes
Haunted	Sorry	eyes
Haunted	Superpower (Ft. Frank Ocean)	eyes
Haunted	Sweet Dreams	eyes
Haunted	The Closer I Get to You (Ft. Luther Vandross)	eyes
Haunted	What's It Gonna Be	eyes
Partition	Resentment	eyes
Partition	Rocket	eyes
Partition	Satellites	eyes
Partition	Save the Hero	eyes
Partition	Schoolin' Life	eyes
Partition	Smash Into You	eyes
Partition	Sorry	eyes
Partition	Superpower (Ft. Frank Ocean)	eyes
Partition	Sweet Dreams	eyes
Partition	The Closer I Get to You (Ft. Luther Vandross)	eyes
Partition	What's It Gonna Be	eyes
Resentment	Rocket	eyes
Resentment	Satellites	eyes
Resentment	Save the Hero	eyes
Resentment	Schoolin' Life	eyes
Resentment	Smash Into You	eyes
Resentment	Sorry	eyes
Resentment	Superpower (Ft. Frank Ocean)	eyes
Resentment	Sweet Dreams	eyes
Resentment	The Closer I Get to You (Ft. Luther Vandross)	eyes
Resentment	What's It Gonna Be	eyes
Rocket	Satellites	eyes
Rocket	Save the Hero	eyes
Rocket	Schoolin' Life	eyes
Rocket	Smash Into You	eyes
Rocket	Sorry	eyes
Rocket	Superpower (Ft. Frank Ocean)	eyes
Rocket	Sweet Dreams	eyes
Rocket	The Closer I Get to You (Ft. Luther Vandross)	eyes
Rocket	What's It Gonna Be	eyes
Satellites	Save the Hero	eyes
Satellites	Schoolin' Life	eyes
Satellites	Smash Into You	eyes
Satellites	Sorry	eyes
Satellites	Superpower (Ft. Frank Ocean)	eyes
Satellites	Sweet Dreams	eyes
Satellites	The Closer I Get to You (Ft. Luther Vandross)	eyes
Satellites	What's It Gonna Be	eyes
Save the Hero	Schoolin' Life	eyes
Save the Hero	Smash Into You	eyes
Save the Hero	Sorry	eyes
Save the Hero	Superpower (Ft. Frank Ocean)	eyes
Save the Hero	Sweet Dreams	eyes
Save the Hero	The Closer I Get to You (Ft. Luther Vandross)	eyes
Save the Hero	What's It Gonna Be	eyes
Schoolin' Life	Smash Into You	eyes
Schoolin' Life	Sorry	eyes
Schoolin' Life	Superpower (Ft. Frank Ocean)	eyes
Schoolin' Life	Sweet Dreams	eyes
Schoolin' Life	The Closer I Get to You (Ft. Luther Vandross)	eyes
Schoolin' Life	What's It Gonna Be	eyes
Smash Into You	Sorry	eyes
Smash Into You	Superpower (Ft. Frank Ocean)	eyes
Smash Into You	Sweet Dreams	eyes
Smash Into You	The Closer I Get to You (Ft. Luther Vandross)	eyes
Smash Into You	What's It Gonna Be	eyes
Sorry	Superpower (Ft. Frank Ocean)	eyes
Sorry	Sweet Dreams	eyes
Sorry	The Closer I Get to You (Ft. Luther Vandross)	eyes
Sorry	What's It Gonna Be	eyes
Superpower (Ft. Frank Ocean)	Sweet Dreams	eyes
Superpower (Ft. Frank Ocean)	The Closer I Get to You (Ft. Luther Vandross)	eyes
Superpower (Ft. Frank Ocean)	What's It Gonna Be	eyes
Sweet Dreams	The Closer I Get to You (Ft. Luther Vandross)	eyes
Sweet Dreams	What's It Gonna Be	eyes
The Closer I Get to You (Ft. Luther Vandross)	What's It Gonna Be	eyes
Halo	Run the World (Girls)	fade
Disappear	If I Were a Boy	faithful
Crazy in Love (Ft. JAY-Z)	Dreaming	fall
Crazy in Love (Ft. JAY-Z)	Freedom (Ft. Kendrick Lamar)	fall
Crazy in Love (Ft. JAY-Z)	Halo	fall
Crazy in Love (Ft. JAY-Z)	Radio	fall
Crazy in Love (Ft. JAY-Z)	Sorry	fall
Dreaming	Freedom (Ft. Kendrick Lamar)	fall
Dreaming	Halo	fall
Dreaming	Radio	fall
Dreaming	Sorry	fall
Freedom (Ft. Kendrick Lamar)	Halo	fall
Freedom (Ft. Kendrick Lamar)	Radio	fall
Freedom (Ft. Kendrick Lamar)	Sorry	fall
Halo	Radio	fall
Halo	Sorry	fall
Radio	Sorry	fall
Countdown	Daddy	falling
Countdown	I Care	falling
Countdown	Pretty Hurts	falling
Daddy	I Care	falling
Daddy	Pretty Hurts	falling
I Care	Pretty Hurts	falling
Rocket	Superpower (Ft. Frank Ocean)	falls
Hello	Me, Myself and I	family
Baby Boy (Ft. Sean Paul)	Be With You	fantasies
Partition	Rather Die Young	fast
Partition	Schoolin' Life	fast
Rather Die Young	Schoolin' Life	fast
Crazy in Love (Ft. JAY-Z)	Don't Hurt Yourself (Ft. Jack White)	fat
Forward (Ft. James Blake)	Lay Up Under Me	favorite
Daddy	I Care	fears
I Can't Take No More	Upgrade U (Ft. JAY-Z)	feed
***Flawless (Ft. Chimamanda Ngozi Adichie)	6 Inch (Ft. The Weeknd)	feel
***Flawless (Ft. Chimamanda Ngozi Adichie)	All Night	feel
***Flawless (Ft. Chimamanda Ngozi Adichie)	Baby Boy (Ft. Sean Paul)	feel
***Flawless (Ft. Chimamanda Ngozi Adichie)	Be With You	feel
***Flawless (Ft. Chimamanda Ngozi Adichie)	Blue (Ft. Blue Ivy Carter)	feel
***Flawless (Ft. Chimamanda Ngozi Adichie)	Broken-Hearted Girl	feel
***Flawless (Ft. Chimamanda Ngozi Adichie)	Countdown	feel
***Flawless (Ft. Chimamanda Ngozi Adichie)	Dance for You	feel
***Flawless (Ft. Chimamanda Ngozi Adichie)	Dangerously In Love 2	feel
***Flawless (Ft. Chimamanda Ngozi Adichie)	Disappear	feel
***Flawless (Ft. Chimamanda Ngozi Adichie)	Dreaming	feel
***Flawless (Ft. Chimamanda Ngozi Adichie)	Ego	feel
***Flawless (Ft. Chimamanda Ngozi Adichie)	Ego (Remix) (Ft. Kanye West)	feel
***Flawless (Ft. Chimamanda Ngozi Adichie)	End of Time	feel
***Flawless (Ft. Chimamanda Ngozi Adichie)	Get Me Bodied	feel
***Flawless (Ft. Chimamanda Ngozi Adichie)	Gift from Virgo	feel
***Flawless (Ft. Chimamanda Ngozi Adichie)	Halo	feel
***Flawless (Ft. Chimamanda Ngozi Adichie)	Hello	feel
***Flawless (Ft. Chimamanda Ngozi Adichie)	Hip Hop Star (Ft. Big Boi & Sleepy Brown)	feel
***Flawless (Ft. Chimamanda Ngozi Adichie)	Hold Up	feel
***Flawless (Ft. Chimamanda Ngozi Adichie)	I Can't Take No More	feel
***Flawless (Ft. Chimamanda Ngozi Adichie)	I Miss You	feel
***Flawless (Ft. Chimamanda Ngozi Adichie)	Jealous	feel
***Flawless (Ft. Chimamanda Ngozi Adichie)	Lay Up Under Me	feel
***Flawless (Ft. Chimamanda Ngozi Adichie)	Love Drought	feel
***Flawless (Ft. Chimamanda Ngozi Adichie)	Love on Top	feel
***Flawless (Ft. Chimamanda Ngozi Adichie)	Me, Myself and I	feel
***Flawless (Ft. Chimamanda Ngozi Adichie)	Mine (Ft. Drake)	feel
***Flawless (Ft. Chimamanda Ngozi Adichie)	Naughty Girl	feel
***Flawless (Ft. Chimamanda Ngozi Adichie)	Party (Ft. André 3000)	feel
***Flawless (Ft. Chimamanda Ngozi Adichie)	Poison	feel
***Flawless (Ft. Chimamanda Ngozi Adichie)	Rather Die Young	feel
***Flawless (Ft. Chimamanda Ngozi Adichie)	Resentment	feel
***Flawless (Ft. Chimamanda Ngozi Adichie)	Ring the Alarm	feel
***Flawless (Ft. Chimamanda Ngozi Adichie)	Rocket	feel
***Flawless (Ft. Chimamanda Ngozi Adichie)	Schoolin' Life	feel
***Flawless (Ft. Chimamanda Ngozi Adichie)	Sorry	feel
***Flawless (Ft. Chimamanda Ngozi Adichie)	Speechless	feel
***Flawless (Ft. Chimamanda Ngozi Adichie)	Start Over	feel
***Flawless (Ft. Chimamanda Ngozi Adichie)	Superpower (Ft. Frank Ocean)	feel
***Flawless (Ft. Chimamanda Ngozi Adichie)	That's How You Like It (Ft. JAY-Z)	feel
***Flawless (Ft. Chimamanda Ngozi Adichie)	The Closer I Get to You (Ft. Luther Vandross)	feel
***Flawless (Ft. Chimamanda Ngozi Adichie)	What's It Gonna Be	feel
6 Inch (Ft. The Weeknd)	All Night	feel
6 Inch (Ft. The Weeknd)	Baby Boy (Ft. Sean Paul)	feel
6 Inch (Ft. The Weeknd)	Be With You	feel
6 Inch (Ft. The Weeknd)	Blue (Ft. Blue Ivy Carter)	feel
6 Inch (Ft. The Weeknd)	Broken-Hearted Girl	feel
6 Inch (Ft. The Weeknd)	Countdown	feel
6 Inch (Ft. The Weeknd)	Dance for You	feel
6 Inch (Ft. The Weeknd)	Dangerously In Love 2	feel
6 Inch (Ft. The Weeknd)	Disappear	feel
6 Inch (Ft. The Weeknd)	Dreaming	feel
6 Inch (Ft. The Weeknd)	Ego	feel
6 Inch (Ft. The Weeknd)	Ego (Remix) (Ft. Kanye West)	feel
6 Inch (Ft. The Weeknd)	End of Time	feel
6 Inch (Ft. The Weeknd)	Get Me Bodied	feel
6 Inch (Ft. The Weeknd)	Gift from Virgo	feel
6 Inch (Ft. The Weeknd)	Halo	feel
6 Inch (Ft. The Weeknd)	Hello	feel
6 Inch (Ft. The Weeknd)	Hip Hop Star (Ft. Big Boi & Sleepy Brown)	feel
6 Inch (Ft. The Weeknd)	Hold Up	feel
6 Inch (Ft. The Weeknd)	I Can't Take No More	feel
6 Inch (Ft. The Weeknd)	I Miss You	feel
6 Inch (Ft. The Weeknd)	Jealous	feel
6 Inch (Ft. The Weeknd)	Lay Up Under Me	feel
6 Inch (Ft. The Weeknd)	Love Drought	feel
6 Inch (Ft. The Weeknd)	Love on Top	feel
6 Inch (Ft. The Weeknd)	Me, Myself and I	feel
6 Inch (Ft. The Weeknd)	Mine (Ft. Drake)	feel
6 Inch (Ft. The Weeknd)	Naughty Girl	feel
6 Inch (Ft. The Weeknd)	Party (Ft. André 3000)	feel
6 Inch (Ft. The Weeknd)	Poison	feel
6 Inch (Ft. The Weeknd)	Rather Die Young	feel
