from	to	value
Jesus	Tie Your Mother Down	heard
More of That Jazz	The Prophet's Song	heard
More of That Jazz	Tie Your Mother Down	heard
The Prophet's Song	Tie Your Mother Down	heard
Death on Two Legs (Dedicated to...)	Flick of the Wrist	heart
Death on Two Legs (Dedicated to...)	Good Old-Fashioned Lover Boy	heart
Death on Two Legs (Dedicated to...)	Jealousy	heart
Death on Two Legs (Dedicated to...)	Long Away	heart
Death on Two Legs (Dedicated to...)	Love of My Life	heart
Death on Two Legs (Dedicated to...)	She Makes Me (Stormtrooper In Stilettos)	heart
Death on Two Legs (Dedicated to...)	Teo Torriatte (Let Us Cling Together)	heart
Death on Two Legs (Dedicated to...)	Tie Your Mother Down	heart
Death on Two Legs (Dedicated to...)	You Take My Breath Away	heart
Flick of the Wrist	Good Old-Fashioned Lover Boy	heart
Flick of the Wrist	Jealousy	heart
Flick of the Wrist	Long Away	heart
Flick of the Wrist	Love of My Life	heart
Flick of the Wrist	She Makes Me (Stormtrooper In Stilettos)	heart
Flick of the Wrist	Teo Torriatte (Let Us Cling Together)	heart
Flick of the Wrist	Tie Your Mother Down	heart
Flick of the Wrist	You Take My Breath Away	heart
Good Old-Fashioned Lover Boy	Jealousy	heart
Good Old-Fashioned Lover Boy	Long Away	heart
Good Old-Fashioned Lover Boy	Love of My Life	heart
Good Old-Fashioned Lover Boy	She Makes Me (Stormtrooper In Stilettos)	heart
Good Old-Fashioned Lover Boy	Teo Torriatte (Let Us Cling Together)	heart
Good Old-Fashioned Lover Boy	Tie Your Mother Down	heart
Good Old-Fashioned Lover Boy	You Take My Breath Away	heart
Jealousy	Long Away	heart
Jealousy	Love of My Life	heart
Jealousy	She Makes Me (Stormtrooper In Stilettos)	heart
Jealousy	Teo Torriatte (Let Us Cling Together)	heart
Jealousy	Tie Your Mother Down	heart
Jealousy	You Take My Breath Away	heart
Long Away	Love of My Life	heart
Long Away	She Makes Me (Stormtrooper In Stilettos)	heart
Long Away	Teo Torriatte (Let Us Cling Together)	heart
Long Away	Tie Your Mother Down	heart
Long Away	You Take My Breath Away	heart
Love of My Life	She Makes Me (Stormtrooper In Stilettos)	heart
Love of My Life	Teo Torriatte (Let Us Cling Together)	heart
Love of My Life	Tie Your Mother Down	heart
Love of My Life	You Take My Breath Away	heart
She Makes Me (Stormtrooper In Stilettos)	Teo Torriatte (Let Us Cling Together)	heart
She Makes Me (Stormtrooper In Stilettos)	Tie Your Mother Down	heart
She Makes Me (Stormtrooper In Stilettos)	You Take My Breath Away	heart
Teo Torriatte (Let Us Cling Together)	Tie Your Mother Down	heart
Teo Torriatte (Let Us Cling Together)	You Take My Breath Away	heart
Tie Your Mother Down	You Take My Breath Away	heart
'39	The Prophet's Song	hearts
Bring Back That Leroy Brown	Good Old-Fashioned Lover Boy	heat
Long Away	My Fairy King	heaven
Long Away	Son and Daughter	heaven
Long Away	Stone Cold Crazy	heaven
My Fairy King	Son and Daughter	heaven
My Fairy King	Stone Cold Crazy	heaven
Son and Daughter	Stone Cold Crazy	heaven
My Fairy King	Stone Cold Crazy	hell
My Fairy King	The Prophet's Song	hell
My Fairy King	White Man	hell
Stone Cold Crazy	The Prophet's Song	hell
Stone Cold Crazy	White Man	hell
The Prophet's Song	White Man	hell
Bicycle Race	Dead on Time	hey
Bicycle Race	Don't Stop Me Now	hey
Bicycle Race	Dreamer's Ball	hey
Bicycle Race	Fat Bottomed Girls	hey
Bicycle Race	Fun It	hey
Bicycle Race	Good Old-Fashioned Lover Boy	hey
Bicycle Race	If You Can't Beat Them	hey
Bicycle Race	Let Me Entertain You	hey
Bicycle Race	Mustapha	hey
Dead on Time	Don't Stop Me Now	hey
Dead on Time	Dreamer's Ball	hey
Dead on Time	Fat Bottomed Girls	hey
Dead on Time	Fun It	hey
Dead on Time	Good Old-Fashioned Lover Boy	hey
Dead on Time	If You Can't Beat Them	hey
Dead on Time	Let Me Entertain You	hey
Dead on Time	Mustapha	hey
Don't Stop Me Now	Dreamer's Ball	hey
Don't Stop Me Now	Fat Bottomed Girls	hey
Don't Stop Me Now	Fun It	hey
Don't Stop Me Now	Good Old-Fashioned Lover Boy	hey
Don't Stop Me Now	If You Can't Beat Them	hey
Don't Stop Me Now	Let Me Entertain You	hey
Don't Stop Me Now	Mustapha	hey
Dreamer's Ball	Fat Bottomed Girls	hey
Dreamer's Ball	Fun It	hey
Dreamer's Ball	Good Old-Fashioned Lover Boy	hey
Dreamer's Ball	If You Can't Beat Them	hey
Dreamer's Ball	Let Me Entertain You	hey
Dreamer's Ball	Mustapha	hey
Fat Bottomed Girls	Fun It	hey
Fat Bottomed Girls	Good Old-Fashioned Lover Boy	hey
Fat Bottomed Girls	If You Can't Beat Them	hey
Fat Bottomed Girls	Let Me Entertain You	hey
Fat Bottomed Girls	Mustapha	hey
Fun It	Good Old-Fashioned Lover Boy	hey
Fun It	If You Can't Beat Them	hey
Fun It	Let Me Entertain You	hey
Fun It	Mustapha	hey
Good Old-Fashioned Lover Boy	If You Can't Beat Them	hey
Good Old-Fashioned Lover Boy	Let Me Entertain You	hey
Good Old-Fashioned Lover Boy	Mustapha	hey
If You Can't Beat Them	Let Me Entertain You	hey
If You Can't Beat Them	Mustapha	hey
Let Me Entertain You	Mustapha	hey
Death on Two Legs (Dedicated to...)	Doing All Right	hide
Death on Two Legs (Dedicated to...)	If You Can't Beat Them	hide
Death on Two Legs (Dedicated to...)	My Fairy King	hide
Death on Two Legs (Dedicated to...)	White Man	hide
Doing All Right	If You Can't Beat Them	hide
Doing All Right	My Fairy King	hide
Doing All Right	White Man	hide
If You Can't Beat Them	My Fairy King	hide
If You Can't Beat Them	White Man	hide
My Fairy King	White Man	hide
Bring Back That Leroy Brown	Great King Rat	hit
Bring Back That Leroy Brown	Misfire	hit
Bring Back That Leroy Brown	Modern Times Rock 'N' Roll	hit
Great King Rat	Misfire	hit
Great King Rat	Modern Times Rock 'N' Roll	hit
Misfire	Modern Times Rock 'N' Roll	hit
Dreamer's Ball	Drowse	hold
Dreamer's Ball	Good Old-Fashioned Lover Boy	hold
Dreamer's Ball	Jealousy	hold
Dreamer's Ball	Misfire	hold
Dreamer's Ball	Sweet Lady	hold
Dreamer's Ball	Teo Torriatte (Let Us Cling Together)	hold
Drowse	Good Old-Fashioned Lover Boy	hold
Drowse	Jealousy	hold
Drowse	Misfire	hold
Drowse	Sweet Lady	hold
Drowse	Teo Torriatte (Let Us Cling Together)	hold
Good Old-Fashioned Lover Boy	Jealousy	hold
Good Old-Fashioned Lover Boy	Misfire	hold
Good Old-Fashioned Lover Boy	Sweet Lady	hold
Good Old-Fashioned Lover Boy	Teo Torriatte (Let Us Cling Together)	hold
Jealousy	Misfire	hold
Jealousy	Sweet Lady	hold
Jealousy	Teo Torriatte (Let Us Cling Together)	hold
Misfire	Sweet Lady	hold
Misfire	Teo Torriatte (Let Us Cling Together)	hold
Sweet Lady	Teo Torriatte (Let Us Cling Together)	hold
I’m in Love with My Car	The Millionaire Waltz	holding
I’m in Love with My Car	The Night Comes Down	holding
The Millionaire Waltz	The Night Comes Down	holding
Brighton Rock	In Only Seven Days	holiday
'39	Fat Bottomed Girls	home
'39	In Only Seven Days	home
'39	Leaving Home Ain't Easy	home
'39	Long Away	home
'39	Love of My Life	home
'39	Somebody to Love	home
'39	Sweet Lady	home
'39	You're My Best Friend	home
Fat Bottomed Girls	In Only Seven Days	home
Fat Bottomed Girls	Leaving Home Ain't Easy	home
Fat Bottomed Girls	Long Away	home
Fat Bottomed Girls	Love of My Life	home
Fat Bottomed Girls	Somebody to Love	home
Fat Bottomed Girls	Sweet Lady	home
Fat Bottomed Girls	You're My Best Friend	home
In Only Seven Days	Leaving Home Ain't Easy	home
In Only Seven Days	Long Away	home
In Only Seven Days	Love of My Life	home
In Only Seven Days	Somebody to Love	home
In Only Seven Days	Sweet Lady	home
In Only Seven Days	You're My Best Friend	home
Leaving Home Ain't Easy	Long Away	home
Leaving Home Ain't Easy	Love of My Life	home
Leaving Home Ain't Easy	Somebody to Love	home
Leaving Home Ain't Easy	Sweet Lady	home
Leaving Home Ain't Easy	You're My Best Friend	home
Long Away	Love of My Life	home
Long Away	Somebody to Love	home
Long Away	Sweet Lady	home
Long Away	You're My Best Friend	home
Love of My Life	Somebody to Love	home
Love of My Life	Sweet Lady	home
Love of My Life	You're My Best Friend	home
Somebody to Love	Sweet Lady	home
Somebody to Love	You're My Best Friend	home
Sweet Lady	You're My Best Friend	home
Bring Back That Leroy Brown	Dead on Time	honey
Bring Back That Leroy Brown	Don't Stop Me Now	honey
Bring Back That Leroy Brown	Dreamer's Ball	honey
Bring Back That Leroy Brown	Flick of the Wrist	honey
Bring Back That Leroy Brown	Fun It	honey
Bring Back That Leroy Brown	Keep Yourself Alive	honey
Bring Back That Leroy Brown	Misfire	honey
Bring Back That Leroy Brown	My Fairy King	honey
Bring Back That Leroy Brown	You're My Best Friend	honey
Dead on Time	Don't Stop Me Now	honey
Dead on Time	Dreamer's Ball	honey
Dead on Time	Flick of the Wrist	honey
Dead on Time	Fun It	honey
Dead on Time	Keep Yourself Alive	honey
Dead on Time	Misfire	honey
Dead on Time	My Fairy King	honey
Dead on Time	You're My Best Friend	honey
Don't Stop Me Now	Dreamer's Ball	honey
Don't Stop Me Now	Flick of the Wrist	honey
Don't Stop Me Now	Fun It	honey
Don't Stop Me Now	Keep Yourself Alive	honey
Don't Stop Me Now	Misfire	honey
Don't Stop Me Now	My Fairy King	honey
Don't Stop Me Now	You're My Best Friend	honey
Dreamer's Ball	Flick of the Wrist	honey
Dreamer's Ball	Fun It	honey
Dreamer's Ball	Keep Yourself Alive	honey
Dreamer's Ball	Misfire	honey
Dreamer's Ball	My Fairy King	honey
Dreamer's Ball	You're My Best Friend	honey
Flick of the Wrist	Fun It	honey
Flick of the Wrist	Keep Yourself Alive	honey
Flick of the Wrist	Misfire	honey
Flick of the Wrist	My Fairy King	honey
Flick of the Wrist	You're My Best Friend	honey
Fun It	Keep Yourself Alive	honey
Fun It	Misfire	honey
Fun It	My Fairy King	honey
Fun It	You're My Best Friend	honey
Keep Yourself Alive	Misfire	honey
Keep Yourself Alive	My Fairy King	honey
Keep Yourself Alive	You're My Best Friend	honey
Misfire	My Fairy King	honey
Misfire	You're My Best Friend	honey
My Fairy King	You're My Best Friend	honey
Bring Back That Leroy Brown	If You Can't Beat Them	hoo
Dear Friends	The Prophet's Song	hopes
Bicycle Race	Death on Two Legs (Dedicated to...)	hot
Bicycle Race	Good Old-Fashioned Lover Boy	hot
Death on Two Legs (Dedicated to...)	Good Old-Fashioned Lover Boy	hot
Good Company	In Only Seven Days	hours
Good Company	The Millionaire Waltz	hours
In Only Seven Days	The Millionaire Waltz	hours
Flick of the Wrist	The Prophet's Song	human
Don't Stop Me Now	In Only Seven Days	hundred
Dead on Time	Long Away	hurry
Dead on Time	Love of My Life	hurry
Long Away	Love of My Life	hurry
Jealousy	Love of My Life	hurt
Death on Two Legs (Dedicated to...)	If You Can't Beat Them	hurts
'39	Death on Two Legs (Dedicated to...)	inside
'39	Don't Stop Me Now	inside
'39	If You Can't Beat Them	inside
'39	Seaside Rendezvous	inside
'39	Sweet Lady	inside
'39	The Night Comes Down	inside
'39	Tie Your Mother Down	inside
'39	You Take My Breath Away	inside
Death on Two Legs (Dedicated to...)	Don't Stop Me Now	inside
Death on Two Legs (Dedicated to...)	If You Can't Beat Them	inside
Death on Two Legs (Dedicated to...)	Seaside Rendezvous	inside
Death on Two Legs (Dedicated to...)	Sweet Lady	inside
Death on Two Legs (Dedicated to...)	The Night Comes Down	inside
Death on Two Legs (Dedicated to...)	Tie Your Mother Down	inside
Death on Two Legs (Dedicated to...)	You Take My Breath Away	inside
Don't Stop Me Now	If You Can't Beat Them	inside
Don't Stop Me Now	Seaside Rendezvous	inside
Don't Stop Me Now	Sweet Lady	inside
Don't Stop Me Now	The Night Comes Down	inside
Don't Stop Me Now	Tie Your Mother Down	inside
Don't Stop Me Now	You Take My Breath Away	inside
If You Can't Beat Them	Seaside Rendezvous	inside
If You Can't Beat Them	Sweet Lady	inside
If You Can't Beat Them	The Night Comes Down	inside
If You Can't Beat Them	Tie Your Mother Down	inside
If You Can't Beat Them	You Take My Breath Away	inside
Seaside Rendezvous	Sweet Lady	inside
Seaside Rendezvous	The Night Comes Down	inside
Seaside Rendezvous	Tie Your Mother Down	inside
Seaside Rendezvous	You Take My Breath Away	inside
Sweet Lady	The Night Comes Down	inside
Sweet Lady	Tie Your Mother Down	inside
Sweet Lady	You Take My Breath Away	inside
The Night Comes Down	Tie Your Mother Down	inside
The Night Comes Down	You Take My Breath Away	inside
Tie Your Mother Down	You Take My Breath Away	inside
Let Me Entertain You	More of That Jazz	jazz
Jealousy	She Makes Me (Stormtrooper In Stilettos)	jealous
Bicycle Race	Jesus	jesus
Fun It	I’m in Love with My Car	jive
Fun It	If You Can't Beat Them	join
Fun It	More of That Jazz	join
If You Can't Beat Them	More of That Jazz	join
Doing All Right	Dreamer's Ball	joy
Death on Two Legs (Dedicated to...)	Great King Rat	king
Death on Two Legs (Dedicated to...)	Lily of the Valley	king
Death on Two Legs (Dedicated to...)	My Fairy King	king
Great King Rat	Lily of the Valley	king
Great King Rat	My Fairy King	king
Lily of the Valley	My Fairy King	king
Death on Two Legs (Dedicated to...)	Flick of the Wrist	kiss
Death on Two Legs (Dedicated to...)	Seaside Rendezvous	kiss
Death on Two Legs (Dedicated to...)	You Take My Breath Away	kiss
Flick of the Wrist	Seaside Rendezvous	kiss
Flick of the Wrist	You Take My Breath Away	kiss
Seaside Rendezvous	You Take My Breath Away	kiss
Flick of the Wrist	Good Company	knee
My Fairy King	White Man	knives
In the Lap of the Gods... Revisited	Let Me Entertain You	la
In the Lap of the Gods... Revisited	Seaside Rendezvous	la
In the Lap of the Gods... Revisited	The Prophet's Song	la
Let Me Entertain You	Seaside Rendezvous	la
Let Me Entertain You	The Prophet's Song	la
Seaside Rendezvous	The Prophet's Song	la
Fat Bottomed Girls	Let Me Entertain You	ladies
Brighton Rock	Don't Stop Me Now	lady
Brighton Rock	Sweet Lady	lady
Don't Stop Me Now	Sweet Lady	lady
Brighton Rock	Dead on Time	laid
Brighton Rock	The Millionaire Waltz	laid
Dead on Time	The Millionaire Waltz	laid
'39	Dead on Time	land
'39	Fat Bottomed Girls	land
'39	Jesus	land
'39	My Fairy King	land
'39	The Prophet's Song	land
'39	White Man	land
Dead on Time	Fat Bottomed Girls	land
Dead on Time	Jesus	land
Dead on Time	My Fairy King	land
Dead on Time	The Prophet's Song	land
Dead on Time	White Man	land
Fat Bottomed Girls	Jesus	land
Fat Bottomed Girls	My Fairy King	land
Fat Bottomed Girls	The Prophet's Song	land
Fat Bottomed Girls	White Man	land
Jesus	My Fairy King	land
Jesus	The Prophet's Song	land
Jesus	White Man	land
My Fairy King	The Prophet's Song	land
My Fairy King	White Man	land
The Prophet's Song	White Man	land
In the Lap of the Gods	In the Lap of the Gods... Revisited	lap
Bohemian Rhapsody	The Prophet's Song	late
In the Lap of the Gods... Revisited	The Night Comes Down	laugh
In the Lap of the Gods... Revisited	The Prophet's Song	laugh
The Night Comes Down	The Prophet's Song	laugh
Death on Two Legs (Dedicated to...)	Great King Rat	law
Death on Two Legs (Dedicated to...)	Stone Cold Crazy	law
Great King Rat	Stone Cold Crazy	law
Leaving Home Ain't Easy	More of That Jazz	lay
Son and Daughter	Sweet Lady	lead
Good Old-Fashioned Lover Boy	Teo Torriatte (Let Us Cling Together)	learned
Good Old-Fashioned Lover Boy	White Man	learned
Teo Torriatte (Let Us Cling Together)	White Man	learned
Bohemian Rhapsody	Dead on Time	leave
Bohemian Rhapsody	Great King Rat	leave
Bohemian Rhapsody	In Only Seven Days	leave
Bohemian Rhapsody	In the Lap of the Gods	leave
Bohemian Rhapsody	Liar	leave
Bohemian Rhapsody	Long Away	leave
Bohemian Rhapsody	Love of My Life	leave
Bohemian Rhapsody	Now I'm Here	leave
Bohemian Rhapsody	She Makes Me (Stormtrooper In Stilettos)	leave
Bohemian Rhapsody	White Man	leave
Bohemian Rhapsody	You Take My Breath Away	leave
Dead on Time	Great King Rat	leave
Dead on Time	In Only Seven Days	leave
Dead on Time	In the Lap of the Gods	leave
Dead on Time	Liar	leave
Dead on Time	Long Away	leave
Dead on Time	Love of My Life	leave
Dead on Time	Now I'm Here	leave
Dead on Time	She Makes Me (Stormtrooper In Stilettos)	leave
Dead on Time	White Man	leave
Dead on Time	You Take My Breath Away	leave
Great King Rat	In Only Seven Days	leave
Great King Rat	In the Lap of the Gods	leave
Great King Rat	Liar	leave
Great King Rat	Long Away	leave
Great King Rat	Love of My Life	leave
Great King Rat	Now I'm Here	leave
Great King Rat	She Makes Me (Stormtrooper In Stilettos)	leave
Great King Rat	White Man	leave
Great King Rat	You Take My Breath Away	leave
In Only Seven Days	In the Lap of the Gods	leave
In Only Seven Days	Liar	leave
In Only Seven Days	Long Away	leave
In Only Seven Days	Love of My Life	leave
In Only Seven Days	Now I'm Here	leave
In Only Seven Days	She Makes Me (Stormtrooper In Stilettos)	leave
In Only Seven Days	White Man	leave
In Only Seven Days	You Take My Breath Away	leave
In the Lap of the Gods	Liar	leave
In the Lap of the Gods	Long Away	leave
In the Lap of the Gods	Love of My Life	leave
In the Lap of the Gods	Now I'm Here	leave
In the Lap of the Gods	She Makes Me (Stormtrooper In Stilettos)	leave
In the Lap of the Gods	White Man	leave
In the Lap of the Gods	You Take My Breath Away	leave
Liar	Long Away	leave
Liar	Love of My Life	leave
Liar	Now I'm Here	leave
Liar	She Makes Me (Stormtrooper In Stilettos)	leave
Liar	White Man	leave
Liar	You Take My Breath Away	leave
Long Away	Love of My Life	leave
Long Away	Now I'm Here	leave
Long Away	She Makes Me (Stormtrooper In Stilettos)	leave
Long Away	White Man	leave
Long Away	You Take My Breath Away	leave
Love of My Life	Now I'm Here	leave
Love of My Life	She Makes Me (Stormtrooper In Stilettos)	leave
Love of My Life	White Man	leave
Love of My Life	You Take My Breath Away	leave
Now I'm Here	She Makes Me (Stormtrooper In Stilettos)	leave
Now I'm Here	White Man	leave
Now I'm Here	You Take My Breath Away	leave
She Makes Me (Stormtrooper In Stilettos)	White Man	leave
She Makes Me (Stormtrooper In Stilettos)	You Take My Breath Away	leave
White Man	You Take My Breath Away	leave
Leaving Home Ain't Easy	Long Away	leaving
Dreamer's Ball	Fat Bottomed Girls	left
Dreamer's Ball	Jealousy	left
Dreamer's Ball	Somebody to Love	left
Dreamer's Ball	White Man	left
Fat Bottomed Girls	Jealousy	left
Fat Bottomed Girls	Somebody to Love	left
Fat Bottomed Girls	White Man	left
Jealousy	Somebody to Love	left
Jealousy	White Man	left
Somebody to Love	White Man	left
Brighton Rock	Good Old-Fashioned Lover Boy	letter
Flick of the Wrist	Great King Rat	lie
Flick of the Wrist	Lily of the Valley	lie
Flick of the Wrist	She Makes Me (Stormtrooper In Stilettos)	lie
Flick of the Wrist	You and I	lie
Great King Rat	Lily of the Valley	lie
Great King Rat	She Makes Me (Stormtrooper In Stilettos)	lie
Great King Rat	You and I	lie
Lily of the Valley	She Makes Me (Stormtrooper In Stilettos)	lie
Lily of the Valley	You and I	lie
She Makes Me (Stormtrooper In Stilettos)	You and I	lie
Dead on Time	More of That Jazz	lies
Dead on Time	White Man	lies
More of That Jazz	White Man	lies
'39	Bohemian Rhapsody	life
'39	Dear Friends	life
'39	Doing All Right	life
'39	Dreamer's Ball	life
'39	Drowse	life
'39	Fat Bottomed Girls	life
'39	In the Lap of the Gods	life
'39	In the Lap of the Gods... Revisited	life
'39	Jealousy	life
'39	Love of My Life	life
'39	Somebody to Love	life
'39	Tenement Funster	life
'39	Teo Torriatte (Let Us Cling Together)	life
'39	The Prophet's Song	life
'39	You and I	life
'39	You Take My Breath Away	life
Bohemian Rhapsody	Dear Friends	life
Bohemian Rhapsody	Doing All Right	life
Bohemian Rhapsody	Dreamer's Ball	life
Bohemian Rhapsody	Drowse	life
Bohemian Rhapsody	Fat Bottomed Girls	life
Bohemian Rhapsody	In the Lap of the Gods	life
Bohemian Rhapsody	In the Lap of the Gods... Revisited	life
Bohemian Rhapsody	Jealousy	life
Bohemian Rhapsody	Love of My Life	life
Bohemian Rhapsody	Somebody to Love	life
Bohemian Rhapsody	Tenement Funster	life
Bohemian Rhapsody	Teo Torriatte (Let Us Cling Together)	life
Bohemian Rhapsody	The Prophet's Song	life
Bohemian Rhapsody	You and I	life
Bohemian Rhapsody	You Take My Breath Away	life
Dear Friends	Doing All Right	life
Dear Friends	Dreamer's Ball	life
Dear Friends	Drowse	life
Dear Friends	Fat Bottomed Girls	life
Dear Friends	In the Lap of the Gods	life
Dear Friends	In the Lap of the Gods... Revisited	life
Dear Friends	Jealousy	life
Dear Friends	Love of My Life	life
Dear Friends	Somebody to Love	life
Dear Friends	Tenement Funster	life
Dear Friends	Teo Torriatte (Let Us Cling Together)	life
Dear Friends	The Prophet's Song	life
Dear Friends	You and I	life
Dear Friends	You Take My Breath Away	life
Doing All Right	Dreamer's Ball	life
Doing All Right	Drowse	life
Doing All Right	Fat Bottomed Girls	life
Doing All Right	In the Lap of the Gods	life
Doing All Right	In the Lap of the Gods... Revisited	life
Doing All Right	Jealousy	life
Doing All Right	Love of My Life	life
Doing All Right	Somebody to Love	life
Doing All Right	Tenement Funster	life
Doing All Right	Teo Torriatte (Let Us Cling Together)	life
Doing All Right	The Prophet's Song	life
Doing All Right	You and I	life
Doing All Right	You Take My Breath Away	life
Dreamer's Ball	Drowse	life
Dreamer's Ball	Fat Bottomed Girls	life
Dreamer's Ball	In the Lap of the Gods	life
Dreamer's Ball	In the Lap of the Gods... Revisited	life
Dreamer's Ball	Jealousy	life
Dreamer's Ball	Love of My Life	life
Dreamer's Ball	Somebody to Love	life
Dreamer's Ball	Tenement Funster	life
Dreamer's Ball	Teo Torriatte (Let Us Cling Together)	life
Dreamer's Ball	The Prophet's Song	life
Dreamer's Ball	You and I	life
Dreamer's Ball	You Take My Breath Away	life
Drowse	Fat Bottomed Girls	life
Drowse	In the Lap of the Gods	life
Drowse	In the Lap of the Gods... Revisited	life
Drowse	Jealousy	life
Drowse	Love of My Life	life
Drowse	Somebody to Love	life
Drowse	Tenement Funster	life
Drowse	Teo Torriatte (Let Us Cling Together)	life
Drowse	The Prophet's Song	life
Drowse	You and I	life
Drowse	You Take My Breath Away	life
Fat Bottomed Girls	In the Lap of the Gods	life
Fat Bottomed Girls	In the Lap of the Gods... Revisited	life
Fat Bottomed Girls	Jealousy	life
Fat Bottomed Girls	Love of My Life	life
Fat Bottomed Girls	Somebody to Love	life
Fat Bottomed Girls	Tenement Funster	life
Fat Bottomed Girls	Teo Torriatte (Let Us Cling Together)	life
Fat Bottomed Girls	The Prophet's Song	life
Fat Bottomed Girls	You and I	life
Fat Bottomed Girls	You Take My Breath Away	life
In the Lap of the Gods	In the Lap of the Gods... Revisited	life
In the Lap of the Gods	Jealousy	life
In the Lap of the Gods	Love of My Life	life
In the Lap of the Gods	Somebody to Love	life
In the Lap of the Gods	Tenement Funster	life
In the Lap of the Gods	Teo Torriatte (Let Us Cling Together)	life
In the Lap of the Gods	The Prophet's Song	life
In the Lap of the Gods	You and I	life
In the Lap of the Gods	You Take My Breath Away	life
In the Lap of the Gods... Revisited	Jealousy	life
In the Lap of the Gods... Revisited	Love of My Life	life
In the Lap of the Gods... Revisited	Somebody to Love	life
In the Lap of the Gods... Revisited	Tenement Funster	life
In the Lap of the Gods... Revisited	Teo Torriatte (Let Us Cling Together)	life
In the Lap of the Gods... Revisited	The Prophet's Song	life
In the Lap of the Gods... Revisited	You and I	life
In the Lap of the Gods... Revisited	You Take My Breath Away	life
Jealousy	Love of My Life	life
Jealousy	Somebody to Love	life
Jealousy	Tenement Funster	life
Jealousy	Teo Torriatte (Let Us Cling Together)	life
Jealousy	The Prophet's Song	life
Jealousy	You and I	life
Jealousy	You Take My Breath Away	life
Love of My Life	Somebody to Love	life
Love of My Life	Tenement Funster	life
Love of My Life	Teo Torriatte (Let Us Cling Together)	life
Love of My Life	The Prophet's Song	life
Love of My Life	You and I	life
Love of My Life	You Take My Breath Away	life
Somebody to Love	Tenement Funster	life
Somebody to Love	Teo Torriatte (Let Us Cling Together)	life
Somebody to Love	The Prophet's Song	life
Somebody to Love	You and I	life
Somebody to Love	You Take My Breath Away	life
Tenement Funster	Teo Torriatte (Let Us Cling Together)	life
Tenement Funster	The Prophet's Song	life
Tenement Funster	You and I	life
Tenement Funster	You Take My Breath Away	life
Teo Torriatte (Let Us Cling Together)	The Prophet's Song	life
Teo Torriatte (Let Us Cling Together)	You and I	life
Teo Torriatte (Let Us Cling Together)	You Take My Breath Away	life
The Prophet's Song	You and I	life
The Prophet's Song	You Take My Breath Away	life
You and I	You Take My Breath Away	life
Good Company	Long Away	life's
Good Company	Modern Times Rock 'N' Roll	life's
Long Away	Modern Times Rock 'N' Roll	life's
Don't Stop Me Now	Long Away	light
Don't Stop Me Now	Now I'm Here	light
Don't Stop Me Now	Tenement Funster	light
Don't Stop Me Now	Tie Your Mother Down	light
Don't Stop Me Now	White Man	light
Long Away	Now I'm Here	light
Long Away	Tenement Funster	light
Long Away	Tie Your Mother Down	light
Long Away	White Man	light
Now I'm Here	Tenement Funster	light
Now I'm Here	Tie Your Mother Down	light
Now I'm Here	White Man	light
Tenement Funster	Tie Your Mother Down	light
Tenement Funster	White Man	light
Tie Your Mother Down	White Man	light
Drowse	Good Old-Fashioned Lover Boy	lights
Drowse	Let Me Entertain You	lights
Drowse	Long Away	lights
Good Old-Fashioned Lover Boy	Let Me Entertain You	lights
Good Old-Fashioned Lover Boy	Long Away	lights
Let Me Entertain You	Long Away	lights
Great King Rat	Let Me Entertain You	line
Great King Rat	More of That Jazz	line
Great King Rat	Tenement Funster	line
Let Me Entertain You	More of That Jazz	line
Let Me Entertain You	Tenement Funster	line
More of That Jazz	Tenement Funster	line
Fat Bottomed Girls	Great King Rat	listen
Fat Bottomed Girls	I’m in Love with My Car	listen
Fat Bottomed Girls	Let Me Entertain You	listen
Fat Bottomed Girls	Liar	listen
Fat Bottomed Girls	Modern Times Rock 'N' Roll	listen
Fat Bottomed Girls	The Prophet's Song	listen
Great King Rat	I’m in Love with My Car	listen
Great King Rat	Let Me Entertain You	listen
Great King Rat	Liar	listen
Great King Rat	Modern Times Rock 'N' Roll	listen
Great King Rat	The Prophet's Song	listen
I’m in Love with My Car	Let Me Entertain You	listen
I’m in Love with My Car	Liar	listen
I’m in Love with My Car	Modern Times Rock 'N' Roll	listen
I’m in Love with My Car	The Prophet's Song	listen
Let Me Entertain You	Liar	listen
Let Me Entertain You	Modern Times Rock 'N' Roll	listen
Let Me Entertain You	The Prophet's Song	listen
Liar	Modern Times Rock 'N' Roll	listen
Liar	The Prophet's Song	listen
Modern Times Rock 'N' Roll	The Prophet's Song	listen
In the Lap of the Gods	Jealousy	live
In the Lap of the Gods	Long Away	live
In the Lap of the Gods	Now I'm Here	live
In the Lap of the Gods	Teo Torriatte (Let Us Cling Together)	live
In the Lap of the Gods	You're My Best Friend	live
Jealousy	Long Away	live
Jealousy	Now I'm Here	live
Jealousy	Teo Torriatte (Let Us Cling Together)	live
Jealousy	You're My Best Friend	live
Long Away	Now I'm Here	live
Long Away	Teo Torriatte (Let Us Cling Together)	live
Long Away	You're My Best Friend	live
Now I'm Here	Teo Torriatte (Let Us Cling Together)	live
Now I'm Here	You're My Best Friend	live
Teo Torriatte (Let Us Cling Together)	You're My Best Friend	live
'39	If You Can't Beat Them	lonely
'39	Long Away	lonely
'39	More of That Jazz	lonely
'39	You Take My Breath Away	lonely
'39	You're My Best Friend	lonely
If You Can't Beat Them	Long Away	lonely
If You Can't Beat Them	More of That Jazz	lonely
